,Human,Pig_Chim,Com_Chim,Gibbon,Baboon,Ver_Monkey,Macaca_Thibet,Bor_Oran,Sum_Oran,Gorilla,Cat,Dog,Pig,Sheep,Goat,Cow,Buffalo,Wolf,Tiger,Leopard,Indian_Rhino,White_Rhino,Black_Bear,Brown_Bear,Polar_Bear,Giant_Panda,Rabbit,Hedgehog,Dormouse,Squirrel,Blue_Whale
Indian_Rhino,335.40627037004253,286.2127291461483,312.14909252892534,465.95833928984644,317.95556027209193,343.6369807223071,274.25354734195304,486.04046598082704,480.955328940872,448.7225466052031,518.0813054243772,576.2578147221632,384.5119997758582,391.01694260796444,377.1971319861573,539.3018242494675,523.8886589508918,589.049614316683,678.9263022033593,663.3500958512437,0.0,185.28048763183264,842.1719049231875,915.5616219031534,943.8829283133907,703.1501475823455,527.0036298280617,1822.0515030814252,537.1100369609577,347.89777675555587,441.58649698448147
White_Rhino,260.6045263529969,207.44350385251582,218.3483256276037,424.5690459906385,263.0855623409635,316.21286280078283,233.5581327353954,476.0061922547044,483.47460932002286,364.47248855997674,467.0214592380194,504.56795367206774,422.73327351198355,404.2576714827581,369.456800596999,498.5249020859717,478.9817722579638,517.5186154812583,597.2604576288081,587.3134676775059,185.28048763183264,0.0,779.9632358270356,826.436723139123,854.2782542645932,685.3098446139034,485.3376652367291,1907.8218050437267,637.6667132264546,446.37591110412245,371.00160371207807
Black_Bear,778.0812215248674,826.7431114706745,818.6021859377695,754.980498685281,789.2986453728312,916.4271189359133,870.1933712972827,874.9584720834531,917.3106718041405,726.5628366482152,392.3797886990281,382.38788598927135,786.2282724930495,640.2767724926182,635.2079135328543,573.731574142619,503.58071256898245,366.2845794744764,304.9520847128409,276.7996280204886,842.1719049231875,779.9632358270356,0.0,287.1774820531402,282.4264126305536,478.94723941740665,616.6617024035373,2104.1215432568583,971.69268637806,857.8263445277873,692.3319399284175
Brown_Bear,822.5069298426749,872.9667575105076,849.1734595411485,812.8838694874094,848.1161296019278,964.3628797859516,920.2807629446331,951.2480567563036,993.2442594314131,768.870263842133,473.61391330327587,473.1469855367763,892.4477669424253,775.8973241649816,769.0173371029782,710.8514221143379,633.677418442165,451.80128209068226,331.0432636702545,324.8478026606764,915.5616219031534,826.436723139123,287.1774820531402,0.0,48.27730635731617,574.9703133249442,657.924418317082,2240.934597016282,1126.7527665791445,1000.7211506979652,749.7977543570091
Polar_Bear,845.3434313020352,893.7948180655867,871.1059355802774,836.7893865629312,869.3927824133573,985.9364561666781,944.8021990523243,979.2469085123164,1019.2354669670618,787.6964669138212,495.62004568202576,499.37575242972014,923.9004243875314,803.3771050397097,794.611441680746,733.1890468873202,660.0509744839616,478.0264540583043,344.0880416040996,340.0111024063646,943.8829283133907,854.2782542645932,282.4264126305536,48.27730635731617,0.0,603.4086804231827,678.991299619452,2271.34292094487,1157.0558767814262,1031.9487084599123,765.9112981432121
Giant_Panda,656.0148395385057,752.0997639546105,734.905119592929,545.4862992430081,709.3993449919878,844.9241858525112,754.3999767262285,607.6495664544764,654.961392512964,674.7515501045232,443.7234686127335,460.7320092143141,509.14541232236,537.5797733095123,570.469621774463,517.2906296769131,432.117055617174,441.4337147721232,497.28688575683566,483.54386940674175,703.1501475823455,685.3098446139034,478.94723941740665,574.9703133249442,603.4086804231827,0.0,722.8787131060201,1761.7259029779705,718.2840419993738,689.6645511634418,696.8396919402412
Rabbit,602.3419237053405,573.8326559979658,575.7687677859029,701.6476717185861,639.6626459283237,682.98285536007,657.7670851632056,806.5366154785571,810.1645959867726,633.501766323204,363.05439272284053,486.3507708960062,689.8247141039044,462.1140821327989,454.9281759678024,545.9848017693464,551.285113108602,488.26305948117863,493.9371347948596,481.83389110078656,527.0036298280617,485.3376652367291,616.6617024035373,657.924418317082,678.991299619452,722.8787131060201,0.0,2080.4037247138385,853.5648494737192,665.2122761082264,467.529846664264
Hedgehog,1950.8697201465195,2001.4176016822519,2017.7884195171619,1828.6636411169727,1921.9448072003647,2039.8672353865095,1914.3261149476843,1721.8447222333882,1708.0833819287218,2063.820803420179,1936.1097484861957,1961.3526277867616,1579.149887124704,1769.0101193993135,1795.7087948658946,1879.9856838449655,1901.0187635966242,1951.9679237189016,2078.8639081886004,2094.2885788618282,1822.0515030814252,1907.8218050437267,2104.1215432568583,2240.934597016282,2271.34292094487,1761.7259029779705,2080.4037247138385,0.0,1408.6359804615672,1630.5798504514873,2084.5253106498844
Dormouse,708.9317794280831,729.1654097002199,764.0853577604352,672.1456409892414,659.7103274581491,758.0576062108603,669.4459152313601,620.0904496259969,620.8052366589855,803.3429925737169,745.3267434557426,751.7280754989358,428.1240553545108,530.0806827099493,535.6881774242022,656.9445977416283,664.8378161407177,763.2377450584102,910.915128999287,894.1181120305451,537.1100369609577,637.6667132264546,971.69268637806,1126.7527665791445,1157.0558767814262,718.2840419993738,853.5648494737192,1408.6359804615672,0.0,296.5000235203132,806.2330521075199
Squirrel,540.7358715828691,528.003753436844,563.2820582268445,580.8556645019644,491.0939157673427,556.7260524123938,485.92044407734926,547.1897670558401,559.322743612494,623.5840518303522,609.2568760907841,621.165013660406,393.0813250347586,383.1287745577485,380.0422734196683,532.6680556171456,536.9207318298171,639.4545820058788,777.0489556870637,756.9635799992835,347.89777675555587,446.37591110412245,857.8263445277873,1000.7211506979652,1031.9487084599123,689.6645511634418,665.2122761082264,1630.5798504514873,296.5000235203132,0.0,616.3561770688032
Blue_Whale,405.2738709754942,331.10651673374946,355.96463676901465,531.8638025852654,454.7075704431964,458.1970697441659,463.21636588001996,606.9346103328179,621.5027593671585,360.09534218872443,413.3177650059872,458.15030458106827,573.7917948677209,385.88703506792535,363.4499400289064,346.6164492269607,383.6281618442787,477.3726693033234,494.4945484573831,478.9214258150289,441.58649698448147,371.00160371207807,692.3319399284175,749.7977543570091,765.9112981432121,696.8396919402412,467.529846664264,2084.5253106498844,806.2330521075199,616.3561770688032,0.0
